Index,demand
0,0.026780026
1,0.027676612
2,0.031003408
3,0.030383661
4,0.050028317
5,0.052429527
6,0.043318972
7,0.10550954
8,0.043488648
9,0.07023315
10,0.0367312
11,0.27057636
12,0.25536403
13,0.02887995
14,0.069173165
15,0.038466856
16,0.11372071
17,0.04625064
18,0.09750634
19,0.051274873
20,0.020431474
21,0.018541822
22,0.060191408
23,0.038066488
24,0.4197196
25,0.09689998
26,0.039202243
27,0.08480727
28,0.037974607
29,0.021686438
30,0.022016728
31,0.023981329
32,0.020787619
33,0.08700067
34,0.26930213
35,0.4113696
36,0.050341107
37,0.039886497
38,0.06728774
39,0.114426
40,0.017441394
41,0.016646946
42,0.019375913
43,0.0408665
44,0.026411844
45,0.04595855
46,0.06145152
47,0.4405582
48,0.09154862
49,0.066089354
50,0.2746053
51,0.06516118
52,0.023160882
53,0.14454713
54,0.013973417
55,0.044683993
56,0.08553508
57,0.028162217
58,0.032164227
59,0.02834999
60,0.023365935
61,0.083355986
62,0.064872
63,0.06529771
64,0.02534212
65,0.42135927
66,0.023983762
67,0.03107444
68,0.030872175
69,0.040121116
70,0.023281636
71,0.026967814
72,0.018094067
73,0.03382591
74,0.0603735
75,0.040630937
76,0.043010015
77,0.07669064
78,0.14662886
79,0.046851315
80,0.04060183
81,0.013095049
82,0.01688401
83,0.066504106
84,0.061683036
85,0.05550708
86,0.12986721
87,0.43501124
88,0.07473788
89,0.028694214
90,0.017668163
91,0.029003315
92,0.10551274
93,0.11250129
94,0.15905276
95,0.021791786
96,0.04309417
97,0.033778436
98,0.017305883
99,0.015960444
100,0.019250063
101,0.022437043
102,0.02819635
103,0.13920121
104,0.030642526
105,0.05176059
106,0.024520753
107,0.08079711
108,0.44941556
109,0.03236356
110,0.02728477
111,0.029997043
112,0.04262456
113,0.03888873
114,0.020890567
115,0.09407244
116,0.15036775
117,0.083841294
118,0.068727694
119,0.03568917
120,0.013508128
121,0.02479906
122,0.024512887
123,0.027730912
124,0.021323955
125,0.04913187
126,0.049507156
127,0.24667898
128,0.030557742
129,0.059868984
130,0.036653657
131,0.02286886
132,0.018963816
133,0.023013387
134,0.038402308
135,0.023820657
136,0.09293615
137,0.1444857
138,0.28421614
139,0.045945022
140,0.039283324
141,0.07450933
142,0.048090037
143,0.01949412
144,0.07705115
145,0.024303896
146,0.015645009
147,0.018312454
148,0.083992906
149,0.020447504
150,0.021868475
151,0.024212375
152,0.07059968
153,0.08406908
154,0.16989544
155,0.15444249
156,0.25745654
157,0.08154695
158,0.047114216
159,0.022524202
160,0.055173673
161,0.0393153
162,0.0770773
163,0.057314035
164,0.66954046
165,0.15302959
166,0.03196797
167,0.11225123
168,0.04542236
169,0.044288162
170,0.019564077
171,0.024663594
172,0.01346686
173,0.034673285
174,0.015631711
175,0.017245028
176,0.06817519
177,0.040371474
178,0.075803414
179,0.07194888
180,0.13037038
181,0.25079378
182,0.44327682
183,0.07883711
184,0.027253658
185,0.077328466
186,0.016787628
187,0.032450482
188,0.020434227
189,0.059667
190,0.0663643
191,0.1285218
192,0.06774316
193,0.09520006
194,0.053087324
195,0.068387754
196,0.020045567
197,0.021670116
198,0.10979103
199,0.025740167
200,0.031982996
